representation,method,regime,seed,budget,split,trees,n,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,error_rate,ece,brier,auroc,auprc
temporal_reconstructed,target_full,none,45,9249,target_val,500,2751,0.9081153588195842,0.8342575477510783,0.8696210661528581,0.8564018235209292,991,137,269,1354,0.1475826972010178,0.0542739718354016,0.10372277750372609,0.9304484952565732,0.9395251636939772
temporal_reconstructed,source_only,none,46,0,target_val,500,2751,0.7721032399780341,0.8662969808995687,0.8164924506387921,0.7491945897405645,713,415,217,1406,0.22973464194838242,0.10618318535726091,0.1895942567944744,0.7654248764436754,0.7953072138634736
temporal_reconstructed,coral,none,46,0,target_val,500,2751,0.7173194903256253,0.9365372766481824,0.8123997862105826,0.7027544539269281,529,599,103,1520,0.25517993456924754,0.08701865396236166,0.19000563582413812,0.7320848791529565,0.7396365301259361
temporal_reconstructed,importance,none,46,0,target_val,500,2751,0.7710843373493976,0.8675292667898953,0.8164685416062627,0.7484809454516852,710,418,215,1408,0.2300981461286805,0.09852644045671824,0.18794164320146853,0.7692642991046265,0.8006549991479792
temporal_reconstructed,pseudo_label,none,46,0,target_val,500,2751,0.7650602409638554,0.8607516943930992,0.8100898811249637,0.7402162727284645,699,429,226,1397,0.23809523809523808,0.11157084088311223,0.19204428444255112,0.7673153646823369,0.8090253381068326
temporal_reconstructed,target_full,none,46,9249,target_val,500,2751,0.9053691275167786,0.8311768330252619,0.8666880822357854,0.8530884165126309,987,141,274,1349,0.15085423482370047,0.053254383123581786,0.10384852067712878,0.9304244613119038,0.9396966883081825
alphaearth,source_only,none,42,0,target_val,500,2751,0.7320596458527493,0.9679605668515096,0.8336428760944548,0.7291043969009321,553,575,52,1571,0.22791712104689205,0.14341078098161805,0.1521201902707567,0.9077080137911144,0.9308767351495719
alphaearth,coral,none,42,0,target_val,500,2751,0.7381522259454284,0.9500924214417745,0.8308189655172413,0.7325816717137951,581,547,81,1542,0.22828062522719011,0.13278261479560155,0.14594705229342994,0.9005243223520056,0.9171528539142487
alphaearth,importance,none,42,0,target_val,500,2751,0.7286571296723581,0.9728897104128158,0.833245382585752,0.7258065573340675,540,588,44,1579,0.22973464194838242,0.14732781397881198,0.1529870816260261,0.9065980825281963,0.9277364254799435
alphaearth,pseudo_label,none,42,0,target_val,500,2751,0.6948861194671251,0.9963031423290203,0.8187341772151899,0.6834352591077726,418,710,6,1617,0.26026899309342055,0.2095575499549502,0.18690542664256019,0.9125442989298339,0.9335268136619641
alphaearth,target_full,none,42,9249,target_val,500,2751,0.8926214757048591,0.9168207024029574,0.9045592705167174,0.8790663795702731,949,179,135,1488,0.11414031261359506,0.02983976029235018,0.08442206897750905,0.9490087090275867,0.9569563274957444
alphaearth,source_only,none,43,0,target_val,500,2751,0.7362534948741846,0.973505853357979,0.838418678694614,0.7358664018562945,562,566,43,1580,0.22137404580152673,0.1430512507896209,0.15137245027938004,0.9076424666692886,0.9294277358177426
alphaearth,coral,none,43,0,target_val,500,2751,0.739443378119002,0.9494762784966112,0.8314000539519827,0.7340466498866034,585,543,82,1541,0.22719011268629588,0.13100394737196533,0.14573547746948412,0.8998543761443436,0.9143459475422548
alphaearth,importance,none,43,0,target_val,500,2751,0.7366946778711485,0.9722735674676525,0.8382470119521912,0.7361367837338262,564,564,45,1578,0.22137404580152673,0.13408319108398126,0.14734025872352224,0.9101824176400415,0.9304650715308654
alphaearth,pseudo_label,none,43,0,target_val,500,2751,0.683565694972539,0.9969192852741836,0.8110275689223058,0.666456096537801,379,749,5,1618,0.2740821519447474,0.21704968352780263,0.19290720871491204,0.9104743754451743,0.9325333210983622
alphaearth,target_full,none,43,9249,target_val,500,2751,0.8903456495828367,0.9205175600739371,0.9051802484095729,0.8786984963490253,944,184,129,1494,0.11377680843329699,0.029577740408961467,0.08439806008277549,0.9491206853607057,0.9572686883433553
