representation,score,pool_quantile,actual_coverage,n,risk,f1
galileo,vote_uncertainty,0.9,0.9342057433660487,2570,0.21828793774319066,0.8461749383054565
galileo,vote_uncertainty,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,tree_variance,0.5,0.5986913849509269,1647,0.1955069823922283,0.8890420399724328
galileo,tree_variance,0.7,0.7938931297709924,2184,0.21153846153846154,0.8636363636363636
galileo,tree_variance,0.8,0.8636859323882224,2376,0.2175925925925926,0.8539135348968635
galileo,tree_variance,0.9,0.9302071973827699,2559,0.23016803438843297,0.8398150666304052
galileo,tree_variance,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,domain_probability,0.5,0.6219556524900036,1711,0.2945645821157218,0.8046511627906977
galileo,domain_probability,0.7,1.0,2751,0.247546346782988,0.8229789446321809
galileo,domain_probability,0.8,1.0,2751,0.247546346782988,0.8229789446321809
galileo,domain_probability,0.9,1.0,2751,0.247546346782988,0.8229789446321809
galileo,domain_probability,1.0,1.0,2751,0.247546346782988,0.8229789446321809
